episode,timestep,reward
42,800,18.9048
86,1600,18.0682
120,2400,22.7647
150,3200,27.4667
177,4000,29.2963
202,4800,32.32
217,5600,53.7333
238,6400,35.9524
253,7200,56.6667
264,8000,69.6364
270,8800,119.0
276,9600,147.3333
282,10400,135.8333
288,11200,108.6667
292,12000,215.25
296,12800,175.75
300,13600,231.5
305,14400,154.8
310,15200,176.2
313,16000,242.3333
317,16800,175.25
321,17600,217.75
324,18400,271.0
328,19200,197.5
331,20000,268.0
334,20800,304.3333
337,21600,249.6667
339,22400,344.0
341,23200,310.5
345,24000,260.5
347,24800,331.5
350,25600,319.6667
352,26400,400.0
354,27200,308.0
357,28000,266.0
359,28800,387.0
361,29600,375.5
364,30400,349.0
366,31200,400.0
368,32000,369.5
372,32800,232.25
375,33600,276.0
377,34400,351.0
379,35200,395.5
381,36000,287.5
385,36800,280.0
387,37600,400.0
389,38400,400.0
392,39200,270.6667
395,40000,266.0
397,40800,329.5
400,41600,271.6667
403,42400,291.6667
405,43200,301.0
407,44000,333.0
410,44800,341.6667
414,45600,210.75
416,46400,400.0
418,47200,280.5
422,48000,288.25
426,48800,198.25
428,49600,274.5
430,50400,376.0
433,51200,341.3333
437,52000,217.0
439,52800,230.0
442,53600,365.0
444,54400,398.0
446,55200,400.0
448,56000,367.0
450,56800,400.0
452,57600,334.5
454,58400,366.5
456,59200,400.0
459,60000,365.0
463,60800,150.25
466,61600,318.3333
468,62400,380.5
470,63200,344.5
473,64000,309.0
476,64800,270.6667
479,65600,242.6667
482,66400,266.3333
485,67200,243.0
488,68000,271.3333
491,68800,262.0
493,69600,369.0
495,70400,400.0
497,71200,358.0
500,72000,338.3333
502,72800,391.5
505,73600,324.0
507,74400,400.0
509,75200,368.0
511,76000,400.0
513,76800,397.0
515,77600,400.0
517,78400,393.0
519,79200,400.0
521,80000,400.0
523,80800,397.5
525,81600,400.0
527,82400,400.0
529,83200,400.0
531,84000,400.0
533,84800,400.0
535,85600,299.5
538,86400,265.0
541,87200,285.3333
543,88000,400.0
545,88800,400.0
547,89600,371.5
549,90400,400.0
551,91200,400.0
554,92000,365.3333
556,92800,400.0
558,93600,236.5
560,94400,377.0
562,95200,400.0
565,96000,322.3333
568,96800,279.3333
570,97600,400.0
572,98400,400.0
574,99200,400.0
576,100000,400.0
