episode,timestep,reward
4,3000,-92.2923
7,6000,-80.8491
17,9000,-102.3648
23,12000,-95.1306
28,15000,-108.9426
38,18000,-100.5421
46,21000,-100.8523
50,24000,-102.1162
54,27000,-100.035
61,30000,-98.4366
64,33000,-87.5144
73,36000,-94.8302
77,39000,-89.5566
82,42000,-89.2652
86,45000,-93.9267
89,48000,-85.7433
93,51000,-82.8363
95,54000,-64.0809
99,57000,-83.6016
110,60000,-95.987
113,63000,-86.4982
115,66000,-88.7283
125,69000,-97.6888
127,72000,-83.5455
131,75000,-96.101
134,78000,-85.032
137,81000,-90.8274
140,84000,-125.5342
143,87000,-103.4343
146,90000,-88.4785
148,93000,-77.8433
150,96000,-74.8384
152,99000,-77.3102
157,102000,-87.7476
162,105000,-89.4608
165,108000,-81.6817
167,111000,-84.7542
169,114000,-66.2988
172,117000,-78.9326
176,120000,-89.5281
179,123000,-86.6698
181,126000,-68.5534
183,129000,-78.0412
185,132000,-75.2359
190,135000,-93.1825
192,138000,-67.5836
194,141000,-80.8474
196,144000,-67.1683
198,147000,-62.479
200,150000,-72.2747
202,153000,-67.9451
204,156000,-73.825
206,159000,-77.6564
212,162000,-95.7977
215,165000,-87.4543
218,168000,-86.7983
220,171000,-66.9308
223,174000,-80.118
227,177000,-89.0206
232,180000,-94.7153
236,183000,-95.3557
238,186000,-80.0515
240,189000,-71.0794
242,192000,-79.0544
245,195000,-83.4551
248,198000,-77.2432
250,201000,-65.7744
253,204000,-81.7468
255,207000,-67.3899
257,210000,-63.2939
259,213000,-67.435
262,216000,-76.807
267,219000,-109.7547
271,222000,-86.9392
274,225000,-85.9185
276,228000,-66.2194
281,231000,-95.1376
286,234000,-92.2329
291,237000,-98.9707
295,240000,-99.091
298,243000,-122.5524
300,246000,-69.4284
302,249000,-59.7554
307,252000,-88.9754
309,255000,-62.1904
313,258000,-104.2484
315,261000,-57.7943
317,264000,-63.2985
319,267000,-54.3953
321,270000,-55.7442
326,273000,-84.9602
330,276000,-123.1497
332,279000,-134.332
334,282000,-102.0435
336,285000,-40.1465
339,288000,-73.0729
342,291000,-66.826
344,294000,-56.8894
346,297000,-41.1514
348,300000,-43.5072
350,303000,-34.8219
352,306000,-35.5903
354,309000,-28.833
356,312000,-44.5307
358,315000,-43.1841
361,318000,-66.0846
363,321000,-38.9611
365,324000,-39.6503
370,327000,-87.9488
374,330000,-88.2255
377,333000,-76.0355
379,336000,-45.1127
383,339000,-97.2871
386,342000,-68.5695
388,345000,-38.8635
390,348000,-38.2754
392,351000,-95.8241
395,354000,-57.8127
398,357000,-70.5658
401,360000,-69.0759
404,363000,-67.7282
408,366000,-75.1717
410,369000,-46.6997
413,372000,-62.4115
415,375000,-45.5383
423,378000,-92.6911
425,381000,-47.2635
427,384000,-40.6149
430,387000,-55.7388
432,390000,-41.5849
435,393000,-63.4383
437,396000,-34.8472
439,399000,-27.8875
442,402000,-62.6035
445,405000,-66.0808
448,408000,-60.0056
450,411000,-41.9546
452,414000,-33.3037
454,417000,-79.6702
458,420000,-86.0958
461,423000,-66.5286
463,426000,-75.5871
465,429000,-43.837
467,432000,-37.8169
470,435000,-57.5671
473,438000,-63.2464
476,441000,-58.6581
478,444000,-46.0551
480,447000,-46.6
483,450000,-70.7238
485,453000,-47.1721
487,456000,-41.0349
490,459000,-54.2788
492,462000,-19.4251
495,465000,-58.0768
497,468000,-35.0198
499,471000,-36.5427
502,474000,-49.0166
505,477000,-56.8403
509,480000,-71.9745
512,483000,-54.5184
518,486000,-79.6086
522,489000,-79.4445
525,492000,-50.2754
527,495000,-37.9341
529,498000,-39.3433
531,501000,-23.2039
533,504000,-32.2276
536,507000,-79.3042
538,510000,-30.3011
541,513000,-56.423
544,516000,-70.3055
547,519000,-83.3496
549,522000,-23.4965
551,525000,-32.2665
556,528000,-77.9106
559,531000,-52.7494
562,534000,-61.1028
565,537000,-57.3029
567,540000,-86.2162
572,543000,-80.4279
578,546000,-85.5255
585,549000,-91.2708
590,552000,-76.1769
600,555000,-103.5992
605,558000,-97.3058
608,561000,-61.3627
614,564000,-84.1326
618,567000,-66.5289
622,570000,-62.3447
625,573000,-54.5196
627,576000,-18.2906
629,579000,-22.7871
631,582000,-26.4219
641,585000,-112.9436
664,588000,-111.6947
699,591000,-109.5951
730,594000,-110.8383
761,597000,-108.4189
797,600000,-108.5529
833,603000,-105.8081
869,606000,-108.4682
888,609000,-114.3642
928,612000,-110.3999
964,615000,-108.4524
1001,618000,-106.5256
1035,621000,-105.6274
1069,624000,-106.5043
1090,627000,-107.8763
1120,630000,-107.4174
1153,633000,-104.8887
1172,636000,-109.3241
1204,639000,-106.8842
1234,642000,-104.3606
1265,645000,-106.4461
1282,648000,-106.6736
1320,651000,-106.643
1348,654000,-106.3642
1377,657000,-106.5441
1411,660000,-107.4648
1448,663000,-104.2496
1483,666000,-105.2069
1517,669000,-104.3877
1549,672000,-102.6881
1580,675000,-104.6502
1607,678000,-105.2717
1638,681000,-108.8239
1660,684000,-110.7709
1683,687000,-110.6127
1703,690000,-107.7666
1731,693000,-106.0703
1754,696000,-109.0879
1775,699000,-107.608
1792,702000,-109.9901
1809,705000,-109.1985
1827,708000,-112.958
1839,711000,-109.1577
1854,714000,-109.558
1881,717000,-110.4208
1900,720000,-108.2139
1919,723000,-111.5482
1935,726000,-106.9347
1948,729000,-110.783
1952,732000,-114.0681
1956,735000,-122.0073
1962,738000,-124.7324
1964,741000,-140.2926
1972,744000,-127.5053
1980,747000,-119.2878
1983,750000,-127.1834
1989,753000,-130.0936
1994,756000,-130.4739
1996,759000,-142.3513
1999,762000,-132.796
2002,765000,-140.793
2004,768000,-143.8381
2008,771000,-136.715
2013,774000,-130.196
2015,777000,-130.3917
2023,780000,-130.2413
2028,783000,-131.6443
2034,786000,-150.0856
2040,789000,-131.7647
2046,792000,-148.9075
2051,795000,-120.4419
2053,798000,-147.9819
2055,801000,-146.0118
2057,804000,-139.4497
2059,807000,-137.4082
2063,810000,-119.3036
2065,813000,-139.5251
2067,816000,-141.0818
2070,819000,-136.0522
2073,822000,-125.8288
2076,825000,-123.7357
2079,828000,-127.4694
2082,831000,-131.7921
2085,834000,-129.8959
2087,837000,-146.6338
2089,840000,-141.7866
2092,843000,-132.5376
2095,846000,-128.7258
2099,849000,-130.1854
2104,852000,-128.8356
2107,855000,-134.973
2109,858000,-143.6305
2144,861000,-123.2343
2179,864000,-122.4253
2204,867000,-125.4786
2231,870000,-123.0266
2270,873000,-122.6117
2300,876000,-122.4155
2312,879000,-127.9895
2317,882000,-130.2267
2339,885000,-118.6178
2350,888000,-128.2748
2358,891000,-128.4761
2386,894000,-120.2173
2406,897000,-122.4492
2428,900000,-118.528
2438,903000,-124.1504
2463,906000,-119.6211
2473,909000,-123.2359
2488,912000,-122.1546
2525,915000,-121.7468
2552,918000,-121.1009
2566,921000,-122.5107
2591,924000,-123.1551
2625,927000,-121.4664
2656,930000,-124.119
2692,933000,-122.1541
2736,936000,-120.2277
2766,939000,-122.7334
2803,942000,-120.3516
2840,945000,-121.3737
2868,948000,-119.2014
2900,951000,-122.5246
2940,954000,-119.0853
2984,957000,-119.3485
3022,960000,-120.825
