episode,timestep,reward
3,3000,-92.1167
5,6000,-76.8122
7,9000,-78.8929
9,12000,-70.5727
13,15000,-89.3664
17,18000,-94.2508
19,21000,-71.1714
33,24000,-108.6257
43,27000,-111.5855
47,30000,-90.8975
51,33000,-99.1873
54,36000,-79.836
57,39000,-82.442
63,42000,-93.5186
66,45000,-81.8891
68,48000,-72.9158
71,51000,-81.1261
73,54000,-86.2266
75,57000,-71.7814
77,60000,-70.6022
81,63000,-93.3298
85,66000,-90.7923
88,69000,-82.1125
90,72000,-71.0904
94,75000,-86.4682
96,78000,-70.0447
99,81000,-81.908
103,84000,-95.4986
105,87000,-70.0143
108,90000,-81.7227
111,93000,-90.5441
114,96000,-84.6528
117,99000,-87.0371
119,102000,-73.3638
121,105000,-71.2744
123,108000,-72.3381
125,111000,-68.5352
127,114000,-71.9379
129,117000,-64.3603
131,120000,-67.248
133,123000,-65.8726
135,126000,-68.6881
137,129000,-67.296
139,132000,-64.2272
141,135000,-68.0519
143,138000,-69.1478
145,141000,-70.2442
148,144000,-82.0123
151,147000,-80.8142
153,150000,-61.4966
155,153000,-68.3316
157,156000,-61.1878
159,159000,-63.1519
161,162000,-58.9561
163,165000,-61.6281
165,168000,-61.76
167,171000,-60.5598
169,174000,-58.9008
171,177000,-63.2469
173,180000,-56.8442
175,183000,-57.2221
177,186000,-59.0052
179,189000,-63.5784
181,192000,-57.0449
183,195000,-59.0347
185,198000,-57.9942
187,201000,-54.8979
189,204000,-54.6922
191,207000,-53.5502
194,210000,-68.6763
196,213000,-50.0887
198,216000,-47.9466
200,219000,-52.3227
202,222000,-42.8088
205,225000,-72.9208
208,228000,-70.9698
210,231000,-45.2549
212,234000,-50.9351
214,237000,-53.1727
216,240000,-43.8051
218,243000,-44.327
220,246000,-46.1661
222,249000,-43.4052
224,252000,-41.7735
226,255000,-41.2685
228,258000,-33.4902
230,261000,-38.1686
232,264000,-27.2877
234,267000,-36.8951
236,270000,-29.6686
238,273000,-26.3958
241,276000,-46.8995
243,279000,-27.1017
245,282000,-73.5566
247,285000,-30.6715
249,288000,-24.3659
251,291000,-30.9187
253,294000,-28.3465
255,297000,-35.0527
258,300000,-57.6254
260,303000,-20.8426
262,306000,-25.6745
264,309000,-12.7139
266,312000,-21.6082
268,315000,-13.0115
270,318000,-12.3572
272,321000,-30.7111
274,324000,-9.8071
276,327000,-6.5431
278,330000,-13.734
281,333000,-45.1143
284,336000,-36.8709
286,339000,-60.7342
288,342000,-2.2447
290,345000,-9.673
292,348000,4.0243
294,351000,2.5599
296,354000,2.7876
298,357000,-7.2118
303,360000,-66.5645
305,363000,-5.9508
307,366000,-0.8833
309,369000,7.5852
313,372000,-61.1409
315,375000,-3.573
318,378000,-40.6567
320,381000,-1.9433
323,384000,-32.98
325,387000,10.2383
327,390000,3.5089
330,393000,-37.7255
332,396000,5.8549
334,399000,9.6193
336,402000,7.2837
338,405000,12.8625
340,408000,6.8637
342,411000,11.2647
344,414000,13.5078
346,417000,22.5419
348,420000,24.6856
352,423000,-44.4256
354,426000,25.1438
356,429000,26.4479
358,432000,28.8358
360,435000,28.5521
363,438000,-10.6897
366,441000,-53.6064
368,444000,26.9163
370,447000,36.4381
372,450000,13.6926
375,453000,-20.5096
378,456000,-20.0911
380,459000,20.3803
383,462000,-19.0266
385,465000,21.8897
387,468000,34.3452
389,471000,32.7722
391,474000,45.5433
394,477000,-19.2444
396,480000,47.3035
398,483000,-21.723
402,486000,-38.2817
404,489000,24.8654
407,492000,-5.4802
