episode,timestep,reward
6,600,-198.9227
12,1200,-230.1483
19,1800,-163.6867
25,2400,-97.7603
32,3000,-146.6495
37,3600,-188.8315
43,4200,-150.6788
49,4800,-165.5949
56,5400,-124.4969
62,6000,-137.5224
69,6600,-124.0651
76,7200,-125.9146
82,7800,-203.2668
86,8400,-135.1961
92,9000,-94.8586
98,9600,-126.4029
103,10200,-181.4259
110,10800,-92.3891
116,11400,-162.9199
122,12000,-167.1214
128,12600,-120.619
136,13200,-133.9632
142,13800,-158.2383
148,14400,-196.2005
154,15000,-137.7938
160,15600,-188.8861
166,16200,-137.0105
171,16800,-149.8312
178,17400,-125.6426
184,18000,-124.5328
190,18600,-181.762
196,19200,-197.7226
201,19800,-104.4267
208,20400,-100.9241
214,21000,-115.7514
219,21600,-161.3733
224,22200,-177.1911
230,22800,-156.4103
235,23400,-112.7898
241,24000,-128.6612
246,24600,-108.9913
252,25200,-124.9985
258,25800,-127.6455
263,26400,-67.294
268,27000,-115.5473
273,27600,-99.5465
278,28200,-85.3558
283,28800,-212.1608
289,29400,-72.6755
294,30000,-78.3726
299,30600,-88.8443
304,31200,-72.6062
308,31800,-62.0095
313,32400,-71.2302
319,33000,-139.2041
323,33600,-171.564
328,34200,-69.7714
333,34800,-36.6802
339,35400,-53.098
345,36000,-101.81
350,36600,-85.6172
355,37200,-67.3835
360,37800,-35.6831
363,38400,-28.5357
367,39000,-33.0432
371,39600,-31.4873
375,40200,-34.4905
378,40800,-33.0153
382,41400,24.1746
387,42000,-41.3214
390,42600,-80.8569
394,43200,-69.2426
398,43800,-4.5702
402,44400,-74.3161
406,45000,-132.4633
411,45600,-70.851
414,46200,-55.1904
418,46800,-77.2247
421,47400,-16.5208
424,48000,27.6595
429,48600,-46.4915
432,49200,-18.2811
435,49800,-4.6589
437,50400,40.408
440,51000,-99.8779
443,51600,-59.8202
448,52200,-61.553
451,52800,-62.1911
454,53400,-37.3694
458,54000,-36.6062
462,54600,-6.5425
465,55200,-28.2034
469,55800,-95.0331
472,56400,11.8173
475,57000,-20.4894
478,57600,-68.9093
480,58200,10.2873
484,58800,9.8846
489,59400,14.3186
491,60000,-10.8445
494,60600,-77.8405
496,61200,-13.2021
499,61800,-3.3311
503,62400,-43.1041
508,63000,8.2287
511,63600,8.8588
513,64200,28.6378
517,64800,-33.2106
520,65400,15.9603
523,66000,21.523
526,66600,-49.2921
528,67200,45.2458
531,67800,-98.6995
535,68400,-47.2213
539,69000,-22.3301
541,69600,3.1058
545,70200,-24.0395
547,70800,-126.175
551,71400,-49.2427
554,72000,55.2021
557,72600,46.7589
559,73200,-41.0048
562,73800,-110.612
566,74400,-84.6565
569,75000,-38.172
572,75600,-94.4648
574,76200,-155.3732
576,76800,37.0161
578,77400,52.6887
581,78000,37.9749
584,78600,-64.7933
587,79200,-16.5306
590,79800,2.8688
593,80400,53.1406
596,81000,-39.6629
598,81600,26.618
600,82200,44.9763
603,82800,-38.5626
607,83400,17.6457
610,84000,-48.1801
613,84600,11.5696
615,85200,45.4286
618,85800,26.1734
622,86400,-55.787
626,87000,-62.5778
629,87600,-46.5604
633,88200,8.8486
636,88800,-51.5438
639,89400,-9.0913
642,90000,-32.7915
645,90600,10.4791
647,91200,50.5407
650,91800,-114.8383
653,92400,12.6985
657,93000,-6.3278
659,93600,34.7533
662,94200,-26.5214
664,94800,63.2045
667,95400,31.4827
670,96000,71.1156
672,96600,33.0072
675,97200,-76.8667
677,97800,40.9966
680,98400,42.9158
682,99000,109.5136
684,99600,106.1702
686,100200,31.1622
689,100800,14.396
692,101400,73.5615
694,102000,84.2836
696,102600,90.4268
699,103200,11.499
701,103800,87.2421
703,104400,-2.3695
706,105000,51.2077
708,105600,43.3369
710,106200,65.7815
712,106800,86.711
714,107400,98.6135
717,108000,45.9692
719,108600,115.8158
721,109200,22.2258
723,109800,76.3102
725,110400,93.1431
728,111000,-7.5873
730,111600,65.966
732,112200,40.127
734,112800,110.7223
736,113400,142.3397
738,114000,92.7642
742,114600,11.9221
744,115200,47.471
746,115800,-18.0229
748,116400,99.4766
751,117000,75.5369
753,117600,78.7431
755,118200,122.1867
757,118800,3.0774
759,119400,96.9628
761,120000,35.3687
764,120600,75.1344
766,121200,91.8196
768,121800,39.3655
770,122400,128.2205
772,123000,111.9188
774,123600,101.6395
776,124200,111.2768
779,124800,41.7301
781,125400,131.1144
783,126000,116.6836
785,126600,148.9349
787,127200,18.5546
789,127800,98.3737
793,128400,57.5992
795,129000,106.7305
797,129600,82.24
799,130200,40.4778
802,130800,69.221
804,131400,93.3128
806,132000,39.1635
808,132600,73.9512
811,133200,94.0351
814,133800,72.3216
817,134400,33.8727
820,135000,52.6674
822,135600,98.7985
824,136200,86.837
827,136800,95.1049
829,137400,137.1114
832,138000,26.6973
834,138600,119.4422
836,139200,42.4702
838,139800,61.2862
841,140400,84.2577
843,141000,111.8202
845,141600,157.5249
847,142200,123.5832
849,142800,85.1168
852,143400,35.4305
854,144000,107.1181
856,144600,132.9023
858,145200,96.5513
860,145800,119.3189
863,146400,112.5704
865,147000,118.8001
867,147600,46.5787
869,148200,40.7971
871,148800,101.468
873,149400,159.1904
876,150000,126.4968
878,150600,174.9711
880,151200,144.1474
882,151800,92.7844
884,152400,61.6776
886,153000,173.4532
888,153600,150.4006
890,154200,46.6506
892,154800,164.8944
895,155400,104.9788
898,156000,52.6854
900,156600,32.6838
902,157200,28.0486
904,157800,169.5412
907,158400,87.4023
910,159000,33.0754
912,159600,80.2332
914,160200,102.6943
916,160800,34.986
919,161400,96.3197
921,162000,120.3785
923,162600,133.0616
925,163200,184.7366
927,163800,168.5148
929,164400,6.3356
931,165000,148.5744
933,165600,151.9883
936,166200,104.846
938,166800,141.1103
940,167400,151.4481
942,168000,92.4557
945,168600,111.9393
947,169200,153.0552
949,169800,135.4227
951,170400,157.2765
954,171000,31.8543
956,171600,73.3965
959,172200,70.0838
961,172800,141.4756
963,173400,101.5437
965,174000,90.93
968,174600,72.9748
970,175200,47.429
972,175800,168.5685
974,176400,135.4793
977,177000,59.4698
979,177600,157.719
981,178200,172.5532
983,178800,169.8854
985,179400,147.5613
987,180000,66.7302
990,180600,92.2793
992,181200,79.2673
995,181800,52.8526
997,182400,162.5222
999,183000,55.6334
1001,183600,164.9157
1004,184200,93.4898
1007,184800,28.8481
1009,185400,142.0213
1011,186000,159.2211
1013,186600,81.0294
1016,187200,77.94
1019,187800,76.0959
1021,188400,102.5002
1023,189000,138.728
1026,189600,98.5944
1029,190200,124.7936
1031,190800,68.1319
1035,191400,24.2974
1037,192000,173.7012
1039,192600,82.5981
1041,193200,185.3172
1043,193800,149.8803
1045,194400,139.5883
1047,195000,133.298
1049,195600,156.5707
1051,196200,131.2683
1054,196800,80.4838
1056,197400,133.2882
1058,198000,151.1454
1060,198600,121.6385
1063,199200,49.4577
1066,199800,19.2418
1068,200400,57.4478
1070,201000,155.976
1073,201600,106.1
1075,202200,150.8087
1077,202800,159.779
1079,203400,141.9862
1081,204000,149.6769
1083,204600,43.9008
1085,205200,151.6097
1088,205800,111.7646
1090,206400,153.918
1093,207000,88.2604
1097,207600,30.6359
1099,208200,107.0576
1101,208800,122.1722
1103,209400,121.9124
1105,210000,167.9615
1107,210600,51.759
1109,211200,165.4934
1112,211800,106.1338
1114,212400,128.1111
1116,213000,80.3114
1119,213600,64.7134
1121,214200,167.8193
1123,214800,68.2715
1125,215400,120.1639
1127,216000,134.9026
1129,216600,134.5403
1132,217200,109.1557
1134,217800,145.4222
1136,218400,147.1663
1138,219000,93.5837
1140,219600,168.3276
1142,220200,159.3432
1144,220800,170.7686
1147,221400,108.3556
1149,222000,158.7267
1151,222600,118.8325
1153,223200,156.8563
1155,223800,86.4042
1157,224400,126.7048
1160,225000,77.5394
1163,225600,101.2284
1165,226200,160.26
1167,226800,111.9753
1169,227400,144.5
1171,228000,70.9441
1173,228600,147.1251
1176,229200,107.4116
1178,229800,98.9872
1181,230400,91.0982
1183,231000,136.7678
1185,231600,132.0921
1187,232200,72.6903
1189,232800,128.5382
1191,233400,67.8154
1193,234000,172.5406
