episode,timestep,reward
34,800,22.8235
68,1600,23.2353
89,2400,39.0476
113,3200,33.6667
125,4000,62.0
139,4800,58.3571
145,5600,127.3333
152,6400,101.1429
157,7200,147.2
162,8000,204.0
164,8800,368.5
166,9600,283.0
169,10400,314.6667
171,11200,400.0
173,12000,398.0
175,12800,400.0
177,13600,400.0
180,14400,308.6667
182,15200,400.0
184,16000,312.0
187,16800,239.0
190,17600,256.6667
192,18400,400.0
194,19200,400.0
196,20000,400.0
199,20800,376.0
201,21600,400.0
205,22400,148.75
208,23200,317.0
210,24000,400.0
213,24800,188.0
216,25600,359.0
224,26400,92.0
228,27200,198.25
231,28000,170.3333
234,28800,319.6667
236,29600,333.5
240,30400,283.5
243,31200,181.3333
249,32000,169.3333
251,32800,400.0
253,33600,400.0
255,34400,247.0
258,35200,321.3333
261,36000,224.6667
264,36800,318.6667
266,37600,400.0
268,38400,400.0
270,39200,292.0
273,40000,393.3333
275,40800,400.0
277,41600,400.0
279,42400,371.5
282,43200,156.6667
286,44000,297.25
288,44800,258.5
291,45600,320.0
293,46400,400.0
295,47200,400.0
297,48000,312.0
303,48800,174.3333
305,49600,324.5
308,50400,266.0
311,51200,305.6667
315,52000,156.25
319,52800,220.5
325,53600,146.1667
331,54400,147.8333
335,55200,162.5
340,56000,153.0
345,56800,195.0
349,57600,132.75
353,58400,256.25
355,59200,400.0
360,60000,163.2
367,60800,121.2857
369,61600,297.5
372,62400,274.3333
379,63200,133.1429
381,64000,325.0
387,64800,151.1667
392,65600,179.2
398,66400,113.0
404,67200,114.3333
408,68000,231.5
412,68800,225.75
415,69600,201.6667
419,70400,242.75
421,71200,400.0
424,72000,276.3333
432,72800,91.25
436,73600,168.25
439,74400,305.6667
442,75200,283.6667
445,76000,213.3333
449,76800,220.75
451,77600,263.0
456,78400,185.8
459,79200,314.3333
461,80000,268.0
466,80800,174.2
468,81600,374.0
473,82400,192.0
476,83200,285.6667
478,84000,400.0
482,84800,236.25
486,85600,173.5
490,86400,178.25
492,87200,396.0
494,88000,305.0
496,88800,400.0
498,89600,400.0
523,90400,47.52
547,91200,31.75
563,92000,50.0
573,92800,73.7
581,93600,108.0
591,94400,75.8
603,95200,73.0
613,96000,80.9
621,96800,89.875
629,97600,109.125
636,98400,115.0
641,99200,158.2
647,100000,133.3333
