episode,timestep,reward
35,800,22.7143
75,1600,20.025
104,2400,25.9655
132,3200,29.0714
153,4000,37.6667
172,4800,42.4211
183,5600,68.9091
193,6400,75.1
202,7200,102.0
209,8000,111.7143
216,8800,108.1429
220,9600,190.5
224,10400,169.0
227,11200,321.6667
231,12000,217.0
233,12800,333.0
236,13600,217.6667
240,14400,255.25
243,15200,210.3333
246,16000,335.0
248,16800,327.5
250,17600,290.5
252,18400,400.0
254,19200,400.0
257,20000,318.3333
260,20800,264.0
263,21600,347.6667
265,22400,267.0
267,23200,400.0
269,24000,353.5
271,24800,400.0
274,25600,386.0
276,26400,294.5
278,27200,400.0
281,28000,264.3333
283,28800,314.5
286,29600,317.0
288,30400,328.0
291,31200,339.3333
293,32000,400.0
295,32800,344.5
298,33600,324.3333
300,34400,400.0
302,35200,400.0
304,36000,400.0
306,36800,400.0
308,37600,360.0
310,38400,356.5
312,39200,400.0
314,40000,390.5
316,40800,400.0
318,41600,400.0
320,42400,400.0
322,43200,400.0
325,44000,361.0
327,44800,400.0
329,45600,400.0
331,46400,400.0
333,47200,400.0
335,48000,400.0
337,48800,394.5
340,49600,215.3333
342,50400,301.0
345,51200,337.0
347,52000,400.0
349,52800,326.5
352,53600,344.6667
355,54400,275.6667
357,55200,400.0
360,56000,265.0
363,56800,283.0
366,57600,147.3333
370,58400,197.5
373,59200,337.6667
375,60000,377.5
379,60800,249.25
381,61600,387.5
383,62400,400.0
385,63200,400.0
387,64000,400.0
389,64800,392.0
391,65600,400.0
393,66400,400.0
395,67200,222.5
397,68000,400.0
399,68800,400.0
401,69600,400.0
403,70400,400.0
405,71200,400.0
407,72000,400.0
410,72800,342.3333
413,73600,315.0
416,74400,261.6667
418,75200,400.0
420,76000,400.0
422,76800,400.0
424,77600,400.0
426,78400,400.0
429,79200,230.6667
434,80000,134.0
437,80800,279.3333
439,81600,383.0
441,82400,400.0
444,83200,275.0
447,84000,329.0
449,84800,400.0
452,85600,209.3333
456,86400,239.25
458,87200,400.0
460,88000,377.5
462,88800,342.5
464,89600,388.5
466,90400,400.0
469,91200,298.6667
471,92000,400.0
476,92800,189.2
479,93600,147.3333
482,94400,346.0
484,95200,326.0
487,96000,310.3333
489,96800,400.0
491,97600,400.0
493,98400,364.0
495,99200,400.0
497,100000,400.0
