episode,timestep,reward
43,800,18.5814
82,1600,20.5128
119,2400,21.1622
157,3200,21.4474
182,4000,31.76
206,4800,33.3333
224,5600,43.5556
246,6400,37.1364
258,7200,59.9167
276,8000,49.0
289,8800,61.6154
295,9600,130.6667
300,10400,142.8
306,11200,105.1667
312,12000,178.5
317,12800,157.6
321,13600,202.25
325,14400,192.0
328,15200,231.3333
333,16000,173.8
337,16800,210.75
342,17600,134.2
344,18400,320.5
347,19200,333.3333
350,20000,272.6667
355,20800,177.8
358,21600,213.6667
360,22400,343.5
362,23200,344.5
365,24000,357.6667
367,24800,294.0
372,25600,211.4
375,26400,275.6667
377,27200,395.0
379,28000,400.0
381,28800,297.5
384,29600,322.0
386,30400,308.5
389,31200,297.0
392,32000,330.6667
394,32800,400.0
397,33600,246.0
399,34400,337.0
401,35200,400.0
403,36000,400.0
406,36800,322.3333
408,37600,338.5
410,38400,400.0
412,39200,400.0
415,40000,276.6667
417,40800,338.0
419,41600,385.0
422,42400,323.3333
424,43200,400.0
426,44000,315.0
429,44800,348.6667
431,45600,400.0
433,46400,381.0
435,47200,316.5
439,48000,242.75
441,48800,347.5
443,49600,333.5
445,50400,400.0
447,51200,400.0
449,52000,400.0
452,52800,358.6667
454,53600,332.5
456,54400,363.0
458,55200,400.0
460,56000,321.5
462,56800,400.0
464,57600,400.0
466,58400,400.0
468,59200,400.0
470,60000,400.0
472,60800,400.0
475,61600,346.6667
477,62400,345.0
479,63200,400.0
481,64000,400.0
483,64800,400.0
485,65600,330.0
487,66400,400.0
489,67200,400.0
492,68000,383.3333
494,68800,308.0
496,69600,374.5
498,70400,400.0
502,71200,251.75
504,72000,375.5
506,72800,400.0
508,73600,400.0
510,74400,400.0
512,75200,293.5
514,76000,374.0
517,76800,356.3333
519,77600,400.0
521,78400,400.0
523,79200,400.0
525,80000,400.0
527,80800,400.0
529,81600,360.0
531,82400,357.5
533,83200,400.0
535,84000,400.0
537,84800,400.0
539,85600,400.0
542,86400,334.3333
544,87200,270.0
546,88000,400.0
548,88800,400.0
550,89600,393.0
552,90400,400.0
554,91200,400.0
556,92000,400.0
558,92800,400.0
561,93600,311.6667
563,94400,400.0
565,95200,400.0
567,96000,400.0
569,96800,400.0
571,97600,400.0
573,98400,400.0
576,99200,338.3333
578,100000,282.0
