episode,timestep,reward
12,3000,-108.9863
16,6000,-95.8601
21,9000,-105.9549
25,12000,-94.9064
28,15000,-85.4939
36,18000,-104.9916
39,21000,-88.914
41,24000,-70.0665
43,27000,-72.6863
46,30000,-82.7279
50,33000,-96.5284
52,36000,-76.623
54,39000,-93.4391
58,42000,-93.8666
60,45000,-69.98
62,48000,-71.373
64,51000,-78.5208
66,54000,-73.6201
69,57000,-84.7151
71,60000,-65.744
73,63000,-67.0128
75,66000,-69.0454
77,69000,-75.239
79,72000,-63.8515
81,75000,-64.8686
84,78000,-78.1182
86,81000,-58.8054
88,84000,-63.7764
90,87000,-55.6801
92,90000,-56.602
94,93000,-57.4199
97,96000,-71.5183
99,99000,-53.3586
101,102000,-55.5202
103,105000,-58.9142
105,108000,-51.689
107,111000,-56.4533
109,114000,-49.4561
111,117000,-54.036
113,120000,-51.8081
115,123000,-49.4424
117,126000,-50.8028
119,129000,-39.8385
121,132000,-39.6119
123,135000,-39.4312
125,138000,-39.3722
128,141000,-57.6979
131,144000,-47.9486
133,147000,-26.2774
135,150000,-28.735
137,153000,-12.3511
139,156000,-7.9192
142,159000,-31.0767
144,162000,-0.2837
146,165000,-1.0735
149,168000,-42.7917
151,171000,-2.8215
153,174000,3.8613
156,177000,-32.4268
158,180000,6.1441
160,183000,-5.3999
162,186000,-2.1385
164,189000,12.9728
166,192000,9.4672
168,195000,10.3877
170,198000,15.4512
172,201000,14.6722
174,204000,22.9131
177,207000,-22.5654
180,210000,-21.9671
182,213000,28.6114
184,216000,24.2115
186,219000,25.0499
188,222000,33.5929
190,225000,32.6058
192,228000,30.8128
194,231000,34.0651
196,234000,38.6754
198,237000,27.7256
200,240000,32.2669
202,243000,38.7492
204,246000,36.6169
206,249000,39.4889
208,252000,49.3433
210,255000,56.6277
212,258000,52.8296
214,261000,64.9778
216,264000,55.8524
218,267000,64.1165
220,270000,47.6684
222,273000,51.5111
225,276000,10.3615
227,279000,54.3365
229,282000,51.1872
231,285000,49.4249
233,288000,62.6359
235,291000,70.2742
237,294000,63.2624
239,297000,67.7612
241,300000,61.4277
243,303000,64.8958
245,306000,68.0263
247,309000,13.2507
249,312000,62.3603
251,315000,64.2573
253,318000,60.4482
255,321000,67.0744
257,324000,70.8005
259,327000,67.6037
261,330000,61.39
263,333000,67.6997
265,336000,66.9449
267,339000,58.7862
269,342000,78.7237
