episode,timestep,reward
17,3000,-104.9709
27,6000,-105.2387
32,9000,-94.3226
38,12000,-85.8811
47,15000,-97.5411
58,18000,-95.9239
68,21000,-99.9123
71,24000,-80.9159
79,27000,-96.2144
86,30000,-97.9641
88,33000,-61.201
96,36000,-93.7996
98,39000,-57.6072
103,42000,-85.7328
105,45000,-61.2125
110,48000,-89.5049
114,51000,-79.5785
119,54000,-93.491
123,57000,-93.7039
126,60000,-74.6703
131,63000,-85.2857
135,66000,-81.7295
138,69000,-73.1518
140,72000,-58.4477
142,75000,-59.323
144,78000,-54.2969
149,81000,-88.56
152,84000,-79.6859
155,87000,-81.125
157,90000,-58.6307
159,93000,-58.555
162,96000,-70.35
165,99000,-71.5879
167,102000,-52.6807
169,105000,-61.1811
172,108000,-67.0427
174,111000,-49.8073
179,114000,-87.8911
181,117000,-79.9411
183,120000,-57.5527
186,123000,-73.7947
188,126000,-55.47
190,129000,-55.4776
192,132000,-58.8271
195,135000,-78.7247
197,138000,-53.9863
200,141000,-72.6673
202,144000,-56.2151
204,147000,-55.4448
206,150000,-58.7281
208,153000,-53.73
210,156000,-55.5158
212,159000,-50.2424
214,162000,-54.6771
216,165000,-44.9044
218,168000,-59.0941
220,171000,-54.2758
222,174000,-50.7993
224,177000,-49.9116
227,180000,-68.0847
229,183000,-57.5192
231,186000,-51.6142
233,189000,-52.588
235,192000,-49.3672
237,195000,-48.3163
239,198000,-48.5961
241,201000,-49.4835
243,204000,-47.6059
245,207000,-42.5443
247,210000,-43.0989
249,213000,-45.2704
251,216000,-46.4939
253,219000,-40.4775
255,222000,-45.3646
258,225000,-62.3175
260,228000,-47.4394
262,231000,-40.0786
264,234000,-43.1166
266,237000,-39.3072
268,240000,-40.319
270,243000,-38.6015
272,246000,-34.2038
274,249000,-39.1243
277,252000,-69.6855
279,255000,-38.8243
281,258000,-31.2895
283,261000,-37.7875
285,264000,-34.5713
287,267000,-32.1928
289,270000,-30.9867
291,273000,-35.5321
293,276000,-30.2287
295,279000,-28.8291
297,282000,-26.7497
299,285000,-24.4984
301,288000,-29.5654
303,291000,-31.611
306,294000,-54.5858
308,297000,-25.8149
310,300000,-14.1513
312,303000,-26.5661
314,306000,-18.0459
316,309000,-15.4551
318,312000,-25.6628
320,315000,-9.6448
322,318000,-59.8184
324,321000,-17.5971
326,324000,-20.2534
328,327000,-25.7706
330,330000,-23.3111
332,333000,-21.5597
334,336000,-18.1883
336,339000,-20.2301
338,342000,-12.689
340,345000,-10.4972
