episode,timestep,reward
8,800,-175.3067
18,1600,-217.826
28,2400,-126.3987
37,3200,-150.5064
46,4000,-140.013
55,4800,-123.4048
63,5600,-82.9138
73,6400,-108.6345
82,7200,-113.3891
91,8000,-94.3331
100,8800,-87.3859
109,9600,-86.9144
117,10400,-78.4252
126,11200,-59.9708
134,12000,-97.2746
142,12800,-60.8688
150,13600,-70.2198
158,14400,-104.1548
164,15200,-87.3707
172,16000,-83.3471
178,16800,-123.612
185,17600,-15.5098
191,18400,-48.8668
195,19200,-18.5504
198,20000,-14.0115
202,20800,12.0799
204,21600,47.1846
208,22400,5.5063
212,23200,-62.6957
217,24000,-54.7346
219,24800,24.8937
224,25600,-18.3339
229,26400,-61.2349
234,27200,-180.0552
238,28000,-68.5438
242,28800,-12.8981
246,29600,-163.0407
249,30400,-302.8472
253,31200,-134.8998
256,32000,-180.2247
259,32800,-53.8434
262,33600,5.1535
265,34400,24.7539
269,35200,36.7645
272,36000,-48.7537
275,36800,30.042
281,37600,-166.8186
286,38400,-47.5495
289,39200,-353.3625
292,40000,-167.0787
297,40800,-171.7814
300,41600,-62.0705
306,42400,-73.5893
310,43200,-81.5162
315,44000,-116.8862
320,44800,-26.9949
325,45600,-90.7369
328,46400,-15.8881
330,47200,53.6255
332,48000,-13.6456
338,48800,-174.6332
341,49600,-148.2415
344,50400,-74.7266
347,51200,11.2531
351,52000,-16.3893
355,52800,-132.0363
359,53600,-2.6735
363,54400,-33.2765
370,55200,-25.6545
377,56000,-89.4448
383,56800,-64.5272
386,57600,8.9664
391,58400,-59.1983
395,59200,-106.2146
398,60000,-62.5226
401,60800,92.0967
403,61600,6.855
408,62400,36.6971
414,63200,-142.5774
418,64000,-13.0429
422,64800,-23.6813
426,65600,-80.083
429,66400,80.5487
434,67200,-38.1475
436,68000,-19.845
442,68800,-154.7293
448,69600,-175.1656
453,70400,-58.8541
458,71200,-140.6176
462,72000,-65.7265
466,72800,-202.5679
474,73600,-118.9837
476,74400,97.8249
480,75200,-34.4229
484,76000,-42.7023
490,76800,-140.899
494,77600,-21.3606
499,78400,-89.7407
503,79200,31.3175
506,80000,-128.319
512,80800,-85.0069
515,81600,10.49
519,82400,23.8019
525,83200,-52.0866
528,84000,-95.0261
533,84800,-17.7149
538,85600,-80.9431
542,86400,37.5901
544,87200,73.0152
550,88000,-158.3021
555,88800,-15.1522
562,89600,-107.0695
570,90400,-67.1112
576,91200,2.9023
584,92000,-69.8989
591,92800,-74.9943
599,93600,-73.6132
608,94400,-59.3288
617,95200,-79.3836
624,96000,-119.8138
630,96800,-69.0694
635,97600,-24.4481
640,98400,-46.6593
645,99200,-8.5681
650,100000,-6.5094
655,100800,2.7116
663,101600,-68.1434
668,102400,-134.8994
675,103200,-57.9637
679,104000,39.6505
684,104800,-59.2684
688,105600,-79.3016
693,106400,-22.3427
698,107200,-16.5179
705,108000,-83.5676
711,108800,-236.5302
716,109600,-102.0211
720,110400,-24.028
725,111200,-28.4198
732,112000,-109.2187
741,112800,-67.4294
750,113600,-70.7315
755,114400,-36.7432
761,115200,-105.2032
768,116000,-71.5566
775,116800,-12.6119
782,117600,-1.7249
789,118400,-20.9145
793,119200,-6.7484
797,120000,86.5836
803,120800,5.8552
810,121600,-71.8549
815,122400,57.9587
822,123200,27.2818
828,124000,-103.5378
836,124800,-58.538
843,125600,-18.3424
850,126400,-30.5132
857,127200,-16.2752
865,128000,-27.9474
872,128800,15.9307
879,129600,-28.1725
886,130400,27.9171
893,131200,0.3738
900,132000,-18.2755
908,132800,-40.1016
914,133600,-15.4307
919,134400,42.9528
925,135200,-27.1508
929,136000,92.5067
936,136800,-42.4134
944,137600,-40.1978
949,138400,48.1035
956,139200,-8.9506
963,140000,16.054
969,140800,6.0118
976,141600,-29.3128
984,142400,-21.481
991,143200,-27.045
997,144000,-43.2392
1004,144800,0.0735
1011,145600,1.0163
1018,146400,-80.8275
1025,147200,-45.878
1033,148000,-78.6426
1041,148800,-141.4427
1048,149600,-26.7794
1055,150400,-40.8331
1063,151200,-44.0816
1070,152000,-58.5577
1077,152800,-22.761
1084,153600,-40.5332
1091,154400,-66.0349
1098,155200,-20.3382
1104,156000,-43.4317
1108,156800,129.021
1115,157600,-14.6124
1123,158400,-45.3744
1131,159200,-64.2469
1138,160000,-43.3251
1145,160800,-3.7671
1151,161600,-44.1681
1158,162400,-17.5761
1166,163200,-10.8859
1174,164000,-28.3307
1182,164800,-56.5518
1191,165600,-41.057
1197,166400,-39.64
1204,167200,1.7131
1210,168000,-8.7845
1217,168800,-26.0171
1225,169600,-211.6685
1230,170400,-8.8115
1239,171200,-71.9341
1248,172000,-52.1075
1254,172800,-21.1418
1263,173600,-44.11
1271,174400,-58.4721
1281,175200,-65.0891
1290,176000,-56.5197
1299,176800,-51.9607
1304,177600,-33.7655
1313,178400,-37.2563
1322,179200,-66.9649
1331,180000,-210.398
1340,180800,-146.8095
1349,181600,-256.5882
1357,182400,-121.8425
1367,183200,-86.7169
1377,184000,-134.9704
1386,184800,-71.4533
1395,185600,-50.3423
1404,186400,-56.1824
1412,187200,-51.1947
1422,188000,-87.9857
1430,188800,-78.1432
1440,189600,-63.9415
1448,190400,-82.9594
1456,191200,-76.7942
1465,192000,-49.827
1473,192800,-148.6034
1481,193600,-177.1934
1490,194400,-121.2212
1497,195200,-50.3969
1504,196000,-120.4728
1513,196800,-158.9285
1522,197600,-43.3292
1531,198400,-86.4095
1541,199200,-93.6955
1550,200000,-104.8212
1559,200800,-101.5353
1569,201600,-82.0655
1576,202400,-46.5013
1584,203200,-90.168
1592,204000,-45.4347
1601,204800,-37.5277
1608,205600,-72.5545
1617,206400,-68.1437
1626,207200,-67.7853
1633,208000,-91.3985
1641,208800,-69.9083
1649,209600,-63.185
1658,210400,-43.1625
1666,211200,-62.7063
1674,212000,-79.1824
1682,212800,-106.2295
1691,213600,-88.6508
1699,214400,-104.0332
1706,215200,-60.704
1715,216000,-70.7674
1723,216800,-72.9563
1729,217600,-55.5769
1736,218400,-24.6445
1744,219200,-55.472
1753,220000,-38.5462
1761,220800,-28.8636
1766,221600,-14.4521
1774,222400,-55.4858
1778,223200,-23.272
1787,224000,-44.0902
1793,224800,-81.0995
1800,225600,-36.1082
1807,226400,-43.1139
1815,227200,-47.2525
1823,228000,-27.8623
1831,228800,-48.4157
1839,229600,-49.456
1848,230400,-37.5619
1857,231200,-49.584
1866,232000,-73.6568
1873,232800,-43.3675
1881,233600,-60.772
1889,234400,-61.0389
1898,235200,-70.7275
1904,236000,-2.1659
1912,236800,-41.4895
1921,237600,-101.1655
1929,238400,-67.9612
1937,239200,-32.7646
1942,240000,-19.2472
1950,240800,-98.0349
1958,241600,-66.1667
1967,242400,-110.1448
1978,243200,-111.6344
1985,244000,-143.2012
1995,244800,-107.9229
2005,245600,-123.2593
2015,246400,-79.6607
2024,247200,-67.4433
2034,248000,-62.2765
2044,248800,-81.4717
2052,249600,-81.5431
2060,250400,-55.1268
2068,251200,-90.014
2075,252000,-44.0205
2083,252800,-67.931
2088,253600,-16.3466
2095,254400,-43.5052
2103,255200,-94.7838
2110,256000,-53.2634
2116,256800,-63.0016
2122,257600,-43.0085
2128,258400,-39.5956
